"id","uri","additional.name","given.name","family.name","full.name","birth.date","gender","constituency","party"
"146","http://lda.data.parliament.uk/members/146.csv","Strachan","Barry","Gardiner","Barry Gardiner","1957-03-10","Male","Brent North","Labour"
"3942","http://lda.data.parliament.uk/members/3942.csv",NA,"John","Stevenson","John Stevenson","1963-07-04","Male","Carlisle","Conservative"
"103","http://lda.data.parliament.uk/members/103.csv","Paul","Alexander","Beresford","Sir Paul Beresford","1946-04-06","Male","Mole Valley","Conservative"
"337","http://lda.data.parliament.uk/members/337.csv","Henry","Edward","Garnier","Sir Edward Garnier","1952-10-26","Male","Harborough","Conservative"
"3919","http://lda.data.parliament.uk/members/3919.csv",NA,"Bob","Stewart","Bob Stewart","1949-07-07","Male","Beckenham","Conservative"
"1567","http://lda.data.parliament.uk/members/1567.csv","Jane","Lorely","Burt","Lorely Burt","1954-09-10","Female","Solihull","Liberal Democrat"
"4025","http://lda.data.parliament.uk/members/4025.csv",NA,"Pauline","Latham","Pauline Latham","1948-02-04","Female","Mid Derbyshire","Conservative"
"67","http://lda.data.parliament.uk/members/67.csv","James","William","Clappison","Mr James Clappison","1956-09-14","Male","Hertsmere","Conservative"
"261","http://lda.data.parliament.uk/members/261.csv","Whiteside","James","Gray","Mr James Gray","1954-11-07","Male","North Wiltshire","Conservative"
"4131","http://lda.data.parliament.uk/members/4131.csv",NA,"Jim","Shannon","Jim Shannon","1955-03-25","Male","Strangford","Democratic Unionist"
"301","http://lda.data.parliament.uk/members/301.csv","Haines","Richard","Burden","Richard Burden","1954-09-01","Male","Birmingham, Northfield","Labour"
"1398","http://lda.data.parliament.uk/members/1398.csv",NA,"Wayne","David","Wayne David","1957-07-01","Male","Caerphilly","Labour"
"465","http://lda.data.parliament.uk/members/465.csv",NA,"Gordon","Marsden","Mr Gordon Marsden","1953-11-28","Male","Blackpool South","Labour"
"1394","http://lda.data.parliament.uk/members/1394.csv","Hugh","Roger","Williams","Roger Williams","1948-01-22","Male","Brecon and Radnorshire","Liberal Democrat"
"62","http://lda.data.parliament.uk/members/62.csv","Patrick Vincent","Alan","Whitehead","Dr Alan Whitehead","1950-09-15","Male","Southampton, Test","Labour"
"4070","http://lda.data.parliament.uk/members/4070.csv",NA,"Matthew","Hancock","Matthew Hancock","1978-10-02","Male","West Suffolk","Conservative"
"1512","http://lda.data.parliament.uk/members/1512.csv","Gordon","David","Mundell","David Mundell","1962-05-27","Male","Dumfriesshire, Clydesdale and Tweeddale","Conservative"
"1520","http://lda.data.parliament.uk/members/1520.csv","James","Mark","Harper","Mr Mark Harper","1970-02-26","Male","Forest of Dean","Conservative"
"3976","http://lda.data.parliament.uk/members/3976.csv",NA,"Chris","Williamson","Chris Williamson","1956-09-16","Male","Derby North","Labour"
"1588","http://lda.data.parliament.uk/members/1588.csv","Mary","Barbara","Keeley","Barbara Keeley","1952-03-26","Female","Worsley and Eccles South","Labour"
"639","http://lda.data.parliament.uk/members/639.csv","Hill","Robert","Smith","Sir Robert Smith","1958-04-15","Male","West Aberdeenshire and Kincardine","Liberal Democrat"
"104","http://lda.data.parliament.uk/members/104.csv","Jeremy Rupert","Crispin","Blunt","Crispin Blunt","1960-07-15","Male","Reigate","Conservative"
"28","http://lda.data.parliament.uk/members/28.csv","John","Norman","Baker","Norman Baker","1957-07-26","Male","Lewes","Liberal Democrat"
"245","http://lda.data.parliament.uk/members/245.csv","Andrew Raymond","Robert","Syms","Mr Robert Syms","1956-08-15","Male","Poole","Conservative"
"308","http://lda.data.parliament.uk/members/308.csv","Dolan","James","Cunningham","Mr Jim Cunningham","1941-02-04","Male","Coventry South","Labour"
"1523","http://lda.data.parliament.uk/members/1523.csv","Frances","Anne","Milton","Anne Milton","1955-11-03","Female","Guildford","Conservative"
"615","http://lda.data.parliament.uk/members/615.csv","Gray","Malcolm","Bruce","Sir Malcolm Bruce","1944-11-17","Male","Gordon","Liberal Democrat"
"244","http://lda.data.parliament.uk/members/244.csv","John","Robert","Walter","Mr Robert Walter","1948-05-30","Male","North Dorset","Conservative"
"175","http://lda.data.parliament.uk/members/175.csv","May","Glenda","Jackson","Glenda Jackson","1936-05-09","Female","Hampstead and Kilburn","Labour"
"1400","http://lda.data.parliament.uk/members/1400.csv","Denis","Kevin","Brennan","Kevin Brennan","1959-10-16","Male","Cardiff West","Labour"
"16","http://lda.data.parliament.uk/members/16.csv","Charles Roberts","Dominic","Grieve","Mr Dominic Grieve","1956-05-24","Male","Beaconsfield","Conservative"
"1545","http://lda.data.parliament.uk/members/1545.csv","Thomas Charles","David","Davies","David T. C. Davies","1970-07-27","Male","Monmouth","Conservative"
"1606","http://lda.data.parliament.uk/members/1606.csv","Michael","John","Howell","John Howell","1955-07-27","Male","Henley","Conservative"
"3914","http://lda.data.parliament.uk/members/3914.csv",NA,"Shabana","Mahmood","Shabana Mahmood","1980-09-17","Female","Birmingham, Ladywood","Labour"
